-899296.7832	816876.5046	545408	969742.6531	-469815.1033	484721	565917.2255	-65028	-903209.6537	-679044
-682752	581652.478	349080	-179606	-585654.0844	-431083.3726	-426851.5284	-272655	295134	614525.4879
910390	808695	-451597.3211	-925387.2766	770789.5339	-105771.6339	607939	-833938	803797.8338	-633581.5681
331379.8395	-172083.6272	-941645.0932	-988419.9871	212411	-429950.5841	-814186	-604249	103585	32630
841866	-247773.9182	-721489	187384	-888694.4809	-789497.9861	-897267.7309	778207	-812536	-247778
-341587	674944	-695444	647998	979196	-807711.8367	94299	-421270	-634163.4036	-263974.6097
704470	94533	742743.8391	581229	-97470.29472	-571899.9381	644065.5828	-780839	252006.9369	-33069.98102
-161989.4043	778934	806535	285756.424	-881373	-120721.4298	649707	-306204.2716	898158	-668190
154191	-529213	46375	-916294.52	-41361	730262.9555	-719249	680184	972586	-337116.6619
-290288.6665	-538202	222077	421176	-558407.0652	482702	698822	510139	-235385	-495636.423
921843	-850312.8299	690312	-161649	374200	-807478.0999	138516.9126	-253299.1669	360806	839884
494834	-806765.9637	-392139	358388	198469.8054	276517	12157.32109	-150511.3518	-307968	660350
727830	314950.1175	-476333.1978	-783359.7007	109742	523120.431	900972	49658	129771	-503694.445
833678	-927193	-775494	-638553.7258	888473	712527.8125	-531685.181	-107351.9397	208932	-737029.4902
-999823.6126	-872015.3203	926150	993002	-401135	839461	-202309	-242749	398628.482	857007
-165304.9596	-138544.0786	752463.7226	335614.2971	-922030	105664	-660363.1543	714544.9508	404714.0297	-865339
180808	539328	352043	389990	-18021.24433	-155215.2942	-793279	-578813.6026	361583	749900
515974	-952152	706189.1269	-507230.435	263601.8364	476453.2664	-324093	578691.7334	864025	656053.6183
714983.357	-499506	-276348.0351	541071.9427	-930670	72848.56503	208108.3407	256849	746914.9526	685044
109982.339	-665652	687091.3096	912376	178558.6386	499917.866	-271656.1927	-953957	756622	751894.195
60527	-657979.3161	804069	-899976.0303	-523929	730301	311380	240424	-721057	608906.1152
850921	261447.0999	-356531.9345	-207374	-144061.7898	611103.4084	-688313	21719	847936	787697
-748660	482385.2641	-291110	784591	-449319.6151	-558584.4817	742399.9977	112954	397244.0829	590743.7193
-330689.6441	-918420.3297	-271666.6995	-358041.1174	-636338	-664676	-836801	708828	-52215.62373	948739.394
-729022.8099	-286900.1591	-286184.2111	1479.628055	-535602	970450.3266	808166	-668836.0268	-593001.085	905549.0132
649647.6883	600933.2064	52757	145769	715888	297984.9842	-557568.3699	-977157.6709	434089.6285	782262
-364948.3105	-877182	992570	423145	-66751	-512316	490835.1738	618710	-761371	-26448.08108
-800077	35296	120430	456641	-30030.30012	233319.3926	378147.4697	-931988.883	473994	-846499
-130668.4182	-497491	-23119.18395	-520800	978583	-685173.6224	-461793.5787	-701202.963	243709.7442	-621346.2035
3192	14152	40471.18348	708627	903216.5864	372272	701848	-624546	728553	-135400
609329	768114	-75306.28454	-703457	-608296	535437	435914.2664	-948272	-731715.5538	474238.9676
